Drug,ATC Codes
Ammonium bicarbonate,No ATC Code
Ammonium carbonate,No ATC Code
Amyl acetate,No ATC Code
Asafoetida,No ATC Code
Bismuth oxide,No ATC Code
Carbaryl,No ATC Code
Chamazulene,No ATC Code
Clemizole,No ATC Code
Cloxyquin,No ATC Code
Ferric glycerophosphate,No ATC Code
Lumasiran,A16AX18
Influenza virus type A (H1N1),No ATC Code
Influenza virus type A (H3N2),No ATC Code
Influenza virus type B (Victoria),No ATC Code
Influenza virus type B (Yamagata),No ATC Code
Imdevimab,J06BD07
Casirivimab,J06BD07
Haletazole,No ATC Code
Hesperidin methylchalcone,No ATC Code
Menadione bisulfite,No ATC Code
Pirenoxine,No ATC Code
Piroctone,No ATC Code
Pitofenone,A03DA02
Potassium glycerophosphate,No ATC Code
Raubasine,No ATC Code
Sodium camphorsulfonate,No ATC Code
Azapentacene,No ATC Code
Sodium nitrate,No ATC Code
Stearyl alcohol,No ATC Code
Strychnine,No ATC Code
Teprenone,A02BX15
Terpineol,No ATC Code
Terpinyl acetate,No ATC Code
Thiamine disulfide,No ATC Code
Tripamide,No ATC Code
Troclosene,No ATC Code
Zinc iodide,No ATC Code
Calcium fluoride,No ATC Code
Thioctamide,No ATC Code
Dynasore,No ATC Code
Naxitamab,L01FX21
Influenza virus type B,No ATC Code
"2,3-Dimercapto-1-propanesulfonic acid",No ATC Code
Butropium,No ATC Code
Carbazochrome sulfonic acid,No ATC Code
Chloroprednisone,S01CA09
Clorotepine,No ATC Code
Desoxycortone,H02AA03
Tauroselcholic acid,No ATC Code
Gold sodium thiosulfate,No ATC Code
Sulfametrole,J01EE03
Tetroxoprim,J01EE06
Verbenone,No ATC Code
Parathiazine,No ATC Code
Homochlorcyclizine,No ATC Code
Levocarnitine propionate,No ATC Code
Josamycin propionate,No ATC Code
Berotralstat,B06AC06
Menglytate,No ATC Code
Clostebol acetate,No ATC Code
Gamma-amino-beta-hydroxybutyric acid,No ATC Code
Cinnamon oil,No ATC Code
Piprinhydrinate,No ATC Code
Ephedrine levulinate,No ATC Code
Garlic oil,No ATC Code
Glycylglutamine,No ATC Code
Glycyltyrosine,No ATC Code
Sulfogaiacol,No ATC Code
Arginine aspartate,No ATC Code
Methane,No ATC Code
Nitric acid,No ATC Code
Nutmeg oil,No ATC Code
Perfluorooctane,No ATC Code
Potassium hydrogen DL-aspartate,No ATC Code
Prednisolone caproate,No ATC Code
Salicylamide O-acetic acid,No ATC Code
Testosterone decanoate,No ATC Code
Testosterone isocaproate,No ATC Code
Testosterone phenylpropionate,No ATC Code
Butedronic acid,No ATC Code
Triacetin,No ATC Code
Zinc DL-aspartate,No ATC Code
Rurioctocog alfa pegol,No ATC Code
Nifekalant,No ATC Code
LX-7101,No ATC Code
Iseganan,No ATC Code
Levophencynonate,No ATC Code
Celivarone,No ATC Code
SER-100,No ATC Code
Bicyclol,No ATC Code
Bisphosphocin Nu-3,No ATC Code
Histamine glutarimide,No ATC Code
Inodiftagene vixteplasmid,No ATC Code
Timrepigene emparvovec,No ATC Code
Gallium Ga-68 gozetotide,V09IX14
Ketocaine,No ATC Code
Levosulpiride,N05AL07
Thenyldiamine,No ATC Code
Monophosphothiamine,No ATC Code
Indocyanine green,V04CX01
Arginine PCA,No ATC Code
NCX-1000,No ATC Code
alpha-Hydroxylinoleic acid,No ATC Code
Azemiglitazone,No ATC Code
2-(5-fluoro-pentyl)-2-methyl-malonic-acid,No ATC Code
VLX-1570,No ATC Code
TRO40303,No ATC Code
GW810781,No ATC Code
GSK2798745,No ATC Code
JBPOS0101,No ATC Code
BFH772,No ATC Code
ABX-1431,No ATC Code
BI 44370 TA,No ATC Code
PLX8394,No ATC Code
AN2898,No ATC Code
DU125530,No ATC Code
EPI-589,No ATC Code
SB-773812,No ATC Code
PF-06882961,No ATC Code
PF-05212377,No ATC Code
TERN-101,No ATC Code
TRC150094,No ATC Code
Elraglusib,No ATC Code
BTRX-246040,No ATC Code
Farudodstat,No ATC Code
FF-10101-01,No ATC Code
MOL-4239,No ATC Code
2'-Fucosyllactose,No ATC Code
ARRY-502,No ATC Code
INCB-057643,No ATC Code
PT-2385,No ATC Code
GZ-389988,No ATC Code
OBI-3424,No ATC Code
AK106-001616,No ATC Code
Darovasertib,No ATC Code
V116517,No ATC Code
Samuraciclib,No ATC Code
Ro 24-7429,No ATC Code
2X-121,No ATC Code
LY-3200882,No ATC Code
Proxalutamide,No ATC Code
Ilacirnon,No ATC Code
Luvadaxistat,No ATC Code
BTRX-335140,No ATC Code
SP-420,No ATC Code
Zetomipzomib,No ATC Code
4'-Thio-fac,No ATC Code
ORP-101,No ATC Code
AZD8529,No ATC Code
LY2828360,No ATC Code
8-Chloroadenosine,No ATC Code
GSK2245035,No ATC Code
Abagovomab,No ATC Code
Abeprazan,No ATC Code
Aclimostat,No ATC Code
Acolbifene,No ATC Code
Acrizanib,No ATC Code
Adagloxad simolenin,No ATC Code
Adelmidrol,No ATC Code
Iron (III) oxide adipate,No ATC Code
Aganepag isopropyl,No ATC Code
Aldafermin,No ATC Code
Alflutinib,No ATC Code
Amtolmetin guacil,No ATC Code
Anivamersen,No ATC Code
CX-2009,No ATC Code
EMB-01,No ATC Code
Simlukafusp alfa,No ATC Code
PEGylated Recombinant Factor VIII,No ATC Code
Antithrombin gamma,No ATC Code
APG-1387,No ATC Code
Apitegromab,No ATC Code
Artemisone,No ATC Code
Atogepant,N02CD07
Avalglucosidase alfa,A16AB22
Axomadol,No ATC Code
Baicalein,No ATC Code
Bakuchiol,No ATC Code
Batabulin,No ATC Code
Batoclimab,No ATC Code
Bemarituzumab,No ATC Code
GSK2256098,No ATC Code
BI 2536,No ATC Code
TAK-715,No ATC Code
GED-0507-34-Levo,No ATC Code
GSK232802,No ATC Code
CR6086,No ATC Code
OT-730,No ATC Code
Bizalimogene ralaplasmid,No ATC Code
HIV Integrase Inhibitor,No ATC Code
Brazikumab,No ATC Code
Brivoligide,No ATC Code
Buprenorphine hemiadipate,No ATC Code
Capadenoson,No ATC Code
Carotegrast methyl,No ATC Code
Epigallo Catechin Gallate,No ATC Code
Cemdisiran,No ATC Code
Centhaquine,No ATC Code
Ceralifimod,No ATC Code
Chiauranib,No ATC Code
Ciforadenant,No ATC Code
Cinaciguat,No ATC Code
Cinpanemab,No ATC Code
Crovalimab,No ATC Code
TZP-102,No ATC Code
Dapansutrile,No ATC Code
Dapirolizumab pegol,No ATC Code
Deferitrin,No ATC Code
Delgocitinib,No ATC Code
Denagliptin,No ATC Code
Desidustat,No ATC Code
Dexisometheptene mucate,No ATC Code
Dezapelisib,No ATC Code
Diflomotecan,No ATC Code
DAR-0100A,No ATC Code
Dilpacimab,No ATC Code
Dimethandrolone Undecanoate,No ATC Code
Acetyldinaline,No ATC Code
Dirocaftor,No ATC Code
Dopastatin,No ATC Code
Dotinurad,No ATC Code
Dynorphin,No ATC Code
Ebopiprant,No ATC Code
Ecraprost,No ATC Code
Efavaleukin alfa,No ATC Code
Eftilagimod alfa,No ATC Code
Efungumab,No ATC Code
VEGFR2-169,No ATC Code
Eltanexor,No ATC Code
Eluforsen,No ATC Code
Empegfilgrastim,L03AA16
Enapotamab vedotin,No ATC Code
Ensifentrine,No ATC Code
Epafipase,No ATC Code
Esflurbiprofen,M02AA29
Tolinapant,No ATC Code
Exebacase,No ATC Code
Exicorilant,No ATC Code
Fasoracetam,No ATC Code
Fenpyroximate,No ATC Code
Finerenone,C03DA05
Firsocostat,No ATC Code
Fisogatinib,No ATC Code
Fluorocyclopentenylcytosine,No ATC Code
Fonadelpar,No ATC Code
Foralumab,No ATC Code
Foscarbidopa,No ATC Code
Foslinanib,No ATC Code
Ganaplacide,No ATC Code
Giroctocogene fitelparvovec,No ATC Code
Glenzocimab,No ATC Code
AIM-102,No ATC Code
ABH001,No ATC Code
Froniglutide,No ATC Code
Gontivimab,No ATC Code
GP2 peptide,No ATC Code
ISIS 2503,No ATC Code
CXD101,No ATC Code
Hemoporfin,No ATC Code
Hetrombopag,No ATC Code
HQP1351,No ATC Code
PEN-866,No ATC Code
C-peptide,No ATC Code
Befovacimab,No ATC Code
Ibezapolstat,No ATC Code
Idursulfase beta,A16AB16
Ifidancitinib,No ATC Code
Imaradenant,No ATC Code
Tovinontrine,No ATC Code
Imidazole-4-carboxylic acid,No ATC Code
Indatuximab ravtansine,No ATC Code
INVAC-1,No ATC Code
Iodine I-131 monoclonal antibody 81C6,No ATC Code
IONIS-FGFR4Rx,No ATC Code
Eplontersen,No ATC Code
Iptacopan,No ATC Code
ISIS 104838,No ATC Code
IONIS-HBVRx,No ATC Code
Isopentane,No ATC Code
"Isoquinoline, 7-(2-(3,6-dihydro-4-(3-(trifluoromethyl)phenyl)-1(2h)-pyridinyl)ethyl)-",No ATC Code
Ispronicline,No ATC Code
Itepekimab,No ATC Code
Itolizumab,No ATC Code
Ivuxolimab,No ATC Code
Janagliflozin,No ATC Code
Kisspeptin-10,No ATC Code
KAI-1678,No ATC Code
Ladarixin,No ATC Code
Ladostigil,No ATC Code
Landipirdine,No ATC Code
Lapaquistat,No ATC Code
Lazertinib,L01EB09
Leniolisib,No ATC Code
Lerociclib,No ATC Code
Levonadifloxacin,J01MA24
Lonapegsomatropin,H01AC09
Lonaprisan,No ATC Code
Loncastuximab tesirine,L01FX22
Lunasine,No ATC Code
Lutikizumab,No ATC Code
Magrolimab,No ATC Code
Maralixibat,A05AX04
Masilukast,No ATC Code
Mavelertinib,No ATC Code
Mesdopetam,No ATC Code
NSI-189,No ATC Code
Methfuroxam,No ATC Code
Milciclib Maleate,No ATC Code
Milvexian,No ATC Code
Miricorilant,No ATC Code
Mirvetuximab,No ATC Code
Mitapivat,"G01AE10, B06AX04"
Modipafant,No ATC Code
Modithromycin,No ATC Code
Molibresib,No ATC Code
BMS-813160,No ATC Code
Apinocaltamide,No ATC Code
CC-11050,No ATC Code
TBA-7371,No ATC Code
MK-0773,No ATC Code
Human Lactoferrin Peptide hLF1-11,No ATC Code
Nafithromycin,No ATC Code
Nangibotide,No ATC Code
Nanoparticle Epirubicin,No ATC Code
Naphthoquine,P01BF08
Nazartinib,No ATC Code
Necuparanib,No ATC Code
Nedisertib,No ATC Code
Nemiralisib,No ATC Code
Nevanimibe,No ATC Code
Nidufexor,No ATC Code
Ningetinib,No ATC Code
Nipocalimab,No ATC Code
Nirsevimab,J06BD08
Nolasiban,No ATC Code
norUrsodeoxycholic acid,No ATC Code
Odevixibat,A05AX05
Olacaftor,No ATC Code
Olaparib-bodipy FL,No ATC Code
Olenasufligene relduparvovec,No ATC Code
Olinvacimab,No ATC Code
Olodanrigan,No ATC Code
Olutasidenib,No ATC Code
Olvimulogene nanivacirepvec,No ATC Code
Onfekafusp alfa,No ATC Code
Ontuxizumab,No ATC Code
Opiranserin,No ATC Code
Orelabrutinib,No ATC Code
Osalmid,No ATC Code
Osoresnontrine,No ATC Code
Otlertuzumab,No ATC Code
Oxymatrine,No ATC Code
Paltusotine,No ATC Code
Parathyroid Hormone-Related Protein 1-36,No ATC Code
Pecavaptan,No ATC Code
Pegcantratinib,No ATC Code
Pegcrisantaspase,No ATC Code
Pegylated Recombinant Human Arginase I,No ATC Code
Pegylated synthetic human c-peptide,No ATC Code
Pelacarsen,No ATC Code
Pelcitoclax,No ATC Code
Pemlimogene merolisbac,No ATC Code
"Penequinine, Penehyclidine",No ATC Code
Peoniflorin,No ATC Code
B27PD,No ATC Code
DAPTA,No ATC Code
Peretinoin,No ATC Code
Perfluorodecalin,No ATC Code
Pexiganan,No ATC Code
Pexmetinib,No ATC Code
HSK-3486,No ATC Code
IPI-549,No ATC Code
Florzolotau F-18,No ATC Code
Polifeprosan 20,No ATC Code
Poseltinib,No ATC Code
Praliciguat,No ATC Code
Preimplantation factor,No ATC Code
BP-14979,No ATC Code
Gallium-68 PSMA,No ATC Code
TAK-653,No ATC Code
Xevinapant,No ATC Code
Racemetyrosine,No ATC Code
A-dmDT390-bisFv(UCHT1),No ATC Code
Revaprazan,No ATC Code
Revusiran,No ATC Code
Rezafungin,No ATC Code
Ribaxamase,No ATC Code
TNP-2092,No ATC Code
Rinucumab,No ATC Code
Ripertamab,No ATC Code
Rivenprost,No ATC Code
Rocakinogene sifuplasmid,No ATC Code
Roledumab,No ATC Code
Romilkimab,No ATC Code
GSK-2981278,No ATC Code
Rovazolac,No ATC Code
S-777469,No ATC Code
Sabatolimab,L01FX19
Satoreotide tetraxetan,No ATC Code
Selgantolimod,No ATC Code
Selodenoson,No ATC Code
Sepiapterin,No ATC Code
Sepofarsen,S01XA29
Seviprotimut-L,No ATC Code
siG12D LODER,No ATC Code
Simurosertib,No ATC Code
Siremadlin,No ATC Code
Sodelglitazar,No ATC Code
Sonlicromanol,No ATC Code
STX-100,No ATC Code
Sulopenem etzadroxil,No ATC Code
Tafolecimab,No ATC Code
Talditercept alfa,No ATC Code
Taniborbactam,No ATC Code
ABX-196,No ATC Code
Tetrafluoroborate,No ATC Code
Tilsotolimod,No ATC Code
Trastuzumab duocarmazine,L01FD05
Tropifexor,No ATC Code
Tulrampator,No ATC Code
Uracil C-13,No ATC Code
Veliflapon,No ATC Code
Velsecorat,No ATC Code
Viagenpumatucel-L,No ATC Code
Vicagrel,No ATC Code
Vixarelimab,No ATC Code
Volinanserin,No ATC Code
Vonlerolizumab,No ATC Code
Razuprotafib,No ATC Code
Avasopasem manganese,No ATC Code
Sotrovimab,J06BD05
Anti-SARS-CoV-2 IgY,No ATC Code
BGB-DXP593,No ATC Code
MW33,No ATC Code
CSL324,No ATC Code
Anti-SARS-CoV-2 immunoglobulin,No ATC Code
Descartes-30,No ATC Code
Silver proteinate,No ATC Code
PlasmaCord,No ATC Code
Recombinant Human Thrombopoietin,No ATC Code
Treamid,No ATC Code
Eflepedocokin alfa,No ATC Code
Autologous peripheral blood-derived CD34+ cells,No ATC Code
Anti-SARS-CoV-2 equine immunoglobulin fragments,No ATC Code
Matrix-M,No ATC Code
Mezagitamab,No ATC Code
Glofitamab,No ATC Code
Cobolimab,No ATC Code
Melrilimab,No ATC Code
Telazorlimab,No ATC Code
Felzartamab,No ATC Code
Actoxumab,No ATC Code
Tesnatilimab,No ATC Code
Tefibazumab,No ATC Code
Garetosmab,No ATC Code
Coprelotamab,No ATC Code
Zampilimab,No ATC Code
Bexmarilimab,No ATC Code
Toralizumab,No ATC Code
Ansuvimab,J06BD04
Astegolimab,No ATC Code
Levilimab,No ATC Code
Axatilimab,No ATC Code
Zansecimab,No ATC Code
Mobocertinib,L01EB10
Daxdilimab,No ATC Code
Avdoralimab,No ATC Code
Cilgavimab,J06BD03
Tixagevimab,J06BD03
Efineptakin alfa,No ATC Code
Goflikicept,No ATC Code
Terevalefim,No ATC Code
Efmarodocokin alfa,No ATC Code
Modakafusp alfa,No ATC Code
Sibofimloc,No ATC Code
Pidacmeran,No ATC Code
BNT-162A1,No ATC Code
Isoquercitrin,No ATC Code
Carvacrol,No ATC Code
Regdanvimab,J06BD06
Subasumstat,No ATC Code
Azvudine,No ATC Code
Zotatifin,No ATC Code
Tiragolumab,No ATC Code
Datopotamab deruxtecan,No ATC Code
Camidanlumab tesirine,No ATC Code
Adebrelimab,No ATC Code
Sotigalimab,No ATC Code
Birtamimab,No ATC Code
Feladilimab,No ATC Code
Vilobelimab,No ATC Code
Geptanolimab,No ATC Code
Narsoplimab,No ATC Code
Ieramilimab,No ATC Code
Vibostolimab,No ATC Code
Volagidemab,No ATC Code
Quavonlimab,No ATC Code
AK119,No ATC Code
Allocetra,No ATC Code
Rintatolimod,No ATC Code
Sulfur dioxide,No ATC Code
VidPrevtyn Beta,No ATC Code
GRAd-COV2,No ATC Code
CoVac-1,No ATC Code
TMV-083,No ATC Code
Receptor binding domain (RBD) SARS-CoV-2 (COVID-19) hepatitis B surface antigen (HBsAg) virus-like particle (VLP) vaccine,No ATC Code
MVA-SARS-2-S,No ATC Code
VXA-CoV2-1,No ATC Code
IN01,No ATC Code
AG0302-COVID19,No ATC Code
AdimrSC-2f,No ATC Code
V590,No ATC Code
V591,No ATC Code
EpiVacCorona,No ATC Code
Ethyl methoxycinnamate,No ATC Code
QazCovid-in,No ATC Code
BNT162b3,No ATC Code
Recombinant SARS-CoV-2 Vaccine (Sf9 Cell),No ATC Code
UB-612,No ATC Code
ChulaCov19 mRNA vaccine,No ATC Code
Vafidemstat,No ATC Code
Thymoquinone,No ATC Code
Efprezimod alfa,No ATC Code
Tin protoporphyrin IX,No ATC Code
Rexin G,No ATC Code
AT-527,No ATC Code
MAS825,No ATC Code
Efzofitimod,No ATC Code
Sarconeos,No ATC Code
Ezurpimtrostat,No ATC Code
Meplazumab,No ATC Code
Pam2csk4,No ATC Code
Carrimycin,No ATC Code
Inbakicept,No ATC Code
Dociparstat sodium,No ATC Code
Quisovalimab,No ATC Code
Oleic monoethanolamide,No ATC Code
Acetylcysteine zidrimer,No ATC Code
Vasomera,No ATC Code
PF-07304814,No ATC Code
PLN-74809,No ATC Code
Influenza A virus A/Brisbane/10/2010 live (attenuated) antigen,No ATC Code
Influenza A virus A/South Australia/55/2014 live (attenuated) antigen,No ATC Code
Zofin,No ATC Code
COVID-19 Spike-GM-CSF Protein Lactated Ringer's Injection,No ATC Code
Prolectin-M,No ATC Code
Sodium copper chlorophyllin,No ATC Code
Deoxyribonuclease I,No ATC Code
FINLAY-FR-1,No ATC Code
Collagen-polyvinylpyrrolidone,No ATC Code
BACTEK-R,No ATC Code
Ethyl piperidinoacetylaminobenzoate,No ATC Code
Gatralimab,No ATC Code
Biomodulin T,No ATC Code
Dialyzable leukocyte extract,No ATC Code
KB109,No ATC Code
LL-37,No ATC Code
OM85,No ATC Code
"Potassium phosphate, dibasic, trihydrate",No ATC Code
Benzoyloxymethylthiamine,No ATC Code
Birch bark extract,No ATC Code
Bacillus clausii,No ATC Code
Bifidobacterium bifidum,No ATC Code
Escherichia coli,No ATC Code
Lactobacillus delbrueckii bulgaricus,No ATC Code
Lactobacillus casei,No ATC Code
Lactobacillus fermentum,No ATC Code
Lactobacillus gasseri,No ATC Code
Lactobacillus salivarius,No ATC Code
Malpighia emarginata extract,No ATC Code
Medicago sativa top,No ATC Code
Furvina,No ATC Code
Streptococcus thermophilus,No ATC Code
Bifidobacterium breve,No ATC Code
Bifidobacterium animalis lactis,No ATC Code
Lactobacillus paracasei,No ATC Code
Zirconium dioxide,No ATC Code
Poloxamer 237,No ATC Code
Metadoxine,A05BA09
Lactoferrin,No ATC Code
Spermaceti,No ATC Code
Tosatoxumab,No ATC Code
Rosa canina fruit,No ATC Code
Nux vomica extract,No ATC Code
Ethyl nitrite,No ATC Code
Tetramisole,No ATC Code
Sepia esculenta bone,No ATC Code
Pediococcus acidilactici,No ATC Code
Mucopolysaccharide polysulphate,No ATC Code
"Hepatitis A vaccine (live, attenuated)",No ATC Code
Gentiana lutea extract,No ATC Code
Furaltadone,No ATC Code
Succinylated gelatin,No ATC Code
Bungarus candidus antivenom,No ATC Code
Wheat germ oil,No ATC Code
Aspergillopepsin-2,No ATC Code
Cadexomer iodine,D03AX01
"Tetanus immune globulin, equine",No ATC Code
"Rabies immune globulin, equine",No ATC Code
Mentha arvensis leaf oil,No ATC Code
Cardamom,No ATC Code
"Japanese encephalitis vaccine (live, attenuated)",No ATC Code
"Poliomyelitis virus type 1 (live, attenuated)",No ATC Code
"Poliomyelitis virus type 3 (live, attenuated)",No ATC Code
Afimetoran,No ATC Code
Darvadstrocel,L04AX08
Lisocabtagene maraleucel,No ATC Code
Pelargonium sidoides root,No ATC Code
Liprotamase protease,No ATC Code
Potassium sodium hydrogen citrate,No ATC Code
Pygeum africanum bark,No ATC Code
Molybdate Mo-99,No ATC Code
Influenza A virus A/Victoria/2570/2019 IVR-215 (H1N1) antigen (formaldehyde inactivated),No ATC Code
Pinus densiflora whole,No ATC Code
N-Alkyl dimethyl benzyl ammonium chloride (C12-C18),No ATC Code
Ascophyllum nodosum,No ATC Code
Frankincense,No ATC Code
Chinese cinnamon,No ATC Code
Goldenseal,No ATC Code
Paeonia lactiflora root,No ATC Code
Apple cider vinegar,No ATC Code
Artemisia annua leaf,No ATC Code
Citrus aurantium fruit,No ATC Code
Cerebrolysin,No ATC Code
Cinnamon leaf oil,No ATC Code
Citronella oil,No ATC Code
Dihydroergotoxine,No ATC Code
Escherichia coli strain Nissle 1917,No ATC Code
Fibrin,No ATC Code
Fucus vesiculosus,No ATC Code
Vitis vinifera seed,No ATC Code
Lithium chloride,No ATC Code
Sodium perchlorate,No ATC Code
Streptococcus pneumoniae type 6a capsular polysaccharide antigen,No ATC Code
Thyme oil,No ATC Code
"Tick-borne encephalitis vaccine (whole virus, inactivated)",No ATC Code
Bee pollen,No ATC Code
Equine collagen,No ATC Code
Amlintide,No ATC Code
Krill oil,No ATC Code
Lithothamnion calcareum extract,No ATC Code
2-(p-Tolyl)ethyl nicotinate,No ATC Code
Niaouli oil,No ATC Code
Magnesium aspartate hydrochloride,No ATC Code
Methopterin,No ATC Code
Lactobionic acid,No ATC Code
Dectaflur,No ATC Code
Amidephrine,No ATC Code
Thallous chloride Tl-201,V09GX01
Prasterone enantate,No ATC Code
Tyrosinase,No ATC Code
Melphalan flufenamide,L01AA10
Fosdenopterin,A16AX19
Serdexmethylphenidate,N06BA15
OPB-111077,No ATC Code
"1,3-Bis((1-methylethyl)amino)propan-2-ol",No ATC Code
Chamaecyparis obtusa whole,No ATC Code
Cryptomeria japonica bark,No ATC Code
Caprylhydroxamic acid,No ATC Code
Glyceryl laurate,No ATC Code
Gastrodia elata whole,No ATC Code
KW-2450 free base,No ATC Code
Cnidium monnieri fruit,No ATC Code
Juniper tar,No ATC Code
Almonertinib,No ATC Code
Sugemalimab,No ATC Code
"Influenza A virus subtype H3N2 haemagglutinin, recombinant",No ATC Code
"Influenza A virus subtype H1N1 haemagglutinin, recombinant",No ATC Code
"Influenza B virus Victoria lineage haemagglutinin, recombinant",No ATC Code
"Influenza B virus Yamagata lineage haemagglutinin, recombinant",No ATC Code
Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated),No ATC Code
Donanemab,No ATC Code
Bacillus calmette-guerin substrain russian BCG-I live antigen,No ATC Code
Ordesekimab,No ATC Code
Deucravacitinib,L04AA56
Botensilimab,No ATC Code
Avotaciclib,No ATC Code
Orticumab,No ATC Code
Nivatrotamab,No ATC Code
Teclistamab,No ATC Code
Zotiraciclib,No ATC Code
Vecabrutinib,No ATC Code
Imsidolimab,No ATC Code
Bentracimab,No ATC Code
Izencitinib,No ATC Code
Etokimab,No ATC Code
Efanesoctocog alfa,No ATC Code
Oxelumab,No ATC Code
Bucelipase alfa,No ATC Code
Idecabtagene vicleucel,L01XL07
Ianalumab,No ATC Code
Pimivalimab,No ATC Code
Budigalimab,No ATC Code
Surzebiclimab,No ATC Code
Garivulimab,No ATC Code
Torudokimab,No ATC Code
Epcoritamab,No ATC Code
Mibavademab,No ATC Code
Zagotenemab,No ATC Code
Uliledlimab,No ATC Code
Ravagalimab,No ATC Code
Nadecnemab,No ATC Code
Talquetamab,No ATC Code
Letaplimab,No ATC Code
Cadonilimab,No ATC Code
Alomfilimab,No ATC Code
Abelacimab,No ATC Code
Foslevodopa,N04BA07
Odronextamab,No ATC Code
Tebotelimab,No ATC Code
Efmitermant alfa,No ATC Code
Reltecimod,No ATC Code
Reproxalap,No ATC Code
Tengonermin,No ATC Code
Tegoprazan,A02BC09
Nirmatrelvir,J05AE30
Axalimogene filolisbac,No ATC Code
Insulin icodec,No ATC Code
Pegcetacoplan,L04AA54
Amivantamab,L01FX18
Glutazumab,No ATC Code
Neihulizumab,No ATC Code
Vutrisiran,N07XX18
Runcaciguat,No ATC Code
Plasminogen,No ATC Code
Famprofazone,No ATC Code
Belumosudil,L04AA48
Durlobactam,No ATC Code
Influenza A virus A/Tasmania/503/2020 IVR-221 (H3N2) antigen (formaldehyde inactivated),No ATC Code
Influenza A virus A/Wisconsin/588/2019 (H1N1) recombinant hemagglutinin antigen,No ATC Code
Gavorestat,No ATC Code
Cipaglucosidase alfa,A16AB23
Allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen,No ATC Code
Streptococcus pneumoniae type 22F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,No ATC Code
Streptococcus pneumoniae type 33F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,No ATC Code
Corynebacterium diphtheriae CRM197 protein,No ATC Code
Streptococcus pneumoniae type 8 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,No ATC Code
