Drug,DrugBank ID,ATC Codes,Pathways
Oxidized cellulose,DB13570,B02BC02,No Pathways
Pentamycin,DB13571,G01AA11,No Pathways
Emylcamate,DB13572,N05BC03,No Pathways
Acefylline,DB13573,R03DA09,No Pathways
Heptaminol,DB13574,C01DX08,No Pathways
Bietaserpine,DB13575,"C02AA07, C02LA07, C02AA57",No Pathways
Aluminium nicotinate,DB13576,C10AD04,No Pathways
Allobarbital,DB13577,N05CA21,No Pathways
Metabutethamine,DB13578,N01BA01,No Pathways
Mepixanox,DB13579,R07AB09,No Pathways
Succinylsulfathiazole,DB13580,A07AB04,No Pathways
Rociverine,DB13581,A03AA06,No Pathways
Ferric (59Fe) citrate,DB13582,V09XX04,No Pathways
Mephenesin,DB13583,M03BX06,No Pathways
Gallamine,DB13584,M03AC02,No Pathways
Aminoethyl nitrate,DB13585,"C01DX01, C01DX51",No Pathways
Metandienone,DB13586,"A14AA03, D11AE01",No Pathways
Mesterolone,DB13587,G03BB01,No Pathways
Naftidrofuryl,DB13588,C04AX21,No Pathways
Calcium pangamate,DB13590,A12AA11,No Pathways
Metopimazine,DB13591,A04AD05,No Pathways
Etamiphylline,DB13592,"R03DB06, R03DA06",No Pathways
Zolimidine,DB13593,A02BX10,No Pathways
Almasilate,DB13595,A02AD05,No Pathways
Oxycinchophen,DB13596,M01CA03,No Pathways
Moroxydine,DB13597,J05AX01,No Pathways
Diethyl ether,DB13598,N01AA01,No Pathways
Difetarsone,DB13599,P01AR02,No Pathways
Deltamethrin,DB13600,P03BA03,No Pathways
Oxiracetam,DB13601,N06BX07,No Pathways
Promegestone,DB13602,G03DB07,No Pathways
Pyrrolnitrin,DB13603,D01AA07,No Pathways
Guanazodine,DB13604,C02CC06,No Pathways
Phenoperidine,DB13605,N01AH04,No Pathways
Phenazocine,DB13606,N02AD02,No Pathways
Picloxydine,DB13607,S01AX16,No Pathways
Tiocarlide,DB13608,J04AD02,No Pathways
Umifenovir,DB13609,J05AX13,No Pathways
Flumedroxone,DB13610,N02CB01,No Pathways
Chlormidazole,DB13611,D01AC04,No Pathways
Carbaspirin calcium,DB13612,"N02BA15, B01AC08",No Pathways
Ticlatone,DB13613,D01AE08,No Pathways
Metizoline,DB13614,R01AA10,No Pathways
Mifamurtide,DB13615,L03AX15,No Pathways
Melagatran,DB13616,B01AE04,No Pathways
Clorexolone,DB13617,"C03BA12, C03BA82",No Pathways
Ipriflavone,DB13618,M05BX01,No Pathways
Bornaprine,DB13619,N04AA11,No Pathways
Potassium gluconate,DB13620,A12BA05,No Pathways
Tetragalacturonic acid hydroxymethylester,DB13621,B02BC03,No Pathways
Selenium (75Se) norcholesterol,DB13622,V09XX03,No Pathways
Fabomotizole,DB13623,N05BX04,No Pathways
Methoxyphenamine,DB13624,R03CB02,No Pathways
Carbuterol,DB13625,"R03CC10, R03AC10",No Pathways
Aluminium glycinate,DB13626,A02AB07,No Pathways
Oxolinic acid,DB13627,J01MB05,No Pathways
Ethyl hydroxybenzoate,DB13628,D01AE10,No Pathways
Mofebutazone,DB13629,"M01AA02, M02AA02",No Pathways
Bibenzonium,DB13630,R05DB12,No Pathways
Methoserpidine,DB13631,"C02AA06, C02LA04",No Pathways
Protiofate,DB13632,G01AX13,No Pathways
Mepartricin,DB13633,"G01AA09, G04CX03, A01AB16, D01AA06",No Pathways
Pentifylline,DB13634,C04AD01,No Pathways
Tiracizine,DB13635,C01EB11,No Pathways
Etanautine,DB13636,N04AB01,No Pathways
Tenitramine,DB13637,C01DA38,No Pathways
Cefbuperazone,DB13638,J01DC13,No Pathways
Ferrous tartrate,DB13639,B03AA08,No Pathways
Acetoxolone,DB13640,A02BX09,No Pathways
Metisazone,DB13641,J05AA01,No Pathways
Pridinol,DB13642,"M03BX03, M03BX53",No Pathways
Loprazolam,DB13643,N05CD11,No Pathways
Methylthiouracil,DB13644,H03BA01,No Pathways
Ethacizine,DB13645,C01BC09,No Pathways
Saruplase,DB13646,B01AD08,No Pathways
Semustine,DB13647,L01AD03,No Pathways
Alcuronium,DB13648,M03AA01,No Pathways
Proquazone,DB13649,M01AX13,No Pathways
Aloglutamol,DB13650,A02AB06,No Pathways
Lorajmine,DB13651,C01BA12,No Pathways
Bunaftine,DB13652,C01BD03,No Pathways
Lorcainide,DB13653,C01BC07,No Pathways
Montmorillonite,DB13654,A07BC05,No Pathways
Nikethamide,DB13655,"R07AB02, R07AB52",No Pathways
Eberconazole,DB13656,D01AC17,No Pathways
Benorilate,DB13657,N02BA10,No Pathways
Hemoglobin raffimer,DB13658,B05AA09,No Pathways
Tenonitrozole,DB13659,P01AX08,No Pathways
Propicillin,DB13660,J01CE03,No Pathways
Niridazole,DB13661,P02BX02,No Pathways
Hexapropymate,DB13662,N05CM10,No Pathways
Clofenamide,DB13663,"C03BB07, C03BA07",No Pathways
Formocortal,DB13664,S01BA12,No Pathways
Fluanisone,DB13665,N05AD09,No Pathways
Tiemonium iodide,DB13666,"A03AB17, A03DA07",No Pathways
Cefozopran,DB13667,J01DE03,No Pathways
Ipidacrine,DB13668,N06DA05,No Pathways
Morpholine,DB13669,N02BA08,No Pathways
Oxantel,DB13670,P02CC02,No Pathways
Sulbentine,DB13671,D01AE09,No Pathways
Dimethylaminopropionylphenothiazine,DB13672,A03AC02,No Pathways
Bekanamycin,DB13673,J01GB13,No Pathways
Cridanimod,DB13674,L03AX18,No Pathways
Metahexamide,DB13675,A10BB10,No Pathways
Mosapramine,DB13676,N05AX10,No Pathways
Carboquone,DB13677,L01AC03,No Pathways
Dihexyverine,DB13678,A03AA08,No Pathways
Dexchlorpheniramine,DB13679,"R06AB52, R06AB02",Dexchlorpheniramine H1-Antihistamine Action
Naftazone,DB13680,C05CX02,No Pathways
Butalamine,DB13681,C04AX23,No Pathways
Cefpirome,DB13682,J01DE02,No Pathways
Quinisocaine,DB13683,D04AB05,No Pathways
Omoconazole,DB13684,"G01AF16, D01AC13",No Pathways
Quingestanol,DB13685,"G03AC04, G03AA02",No Pathways
Clometocillin,DB13686,J01CE07,No Pathways
Niaprazine,DB13687,N05CM16,No Pathways
Drisapersen,DB13688,M09AX04,No Pathways
Tacalcitol,DB13689,D05AX04,No Pathways
Vinyl ether,DB13690,N01AA02,No Pathways
Acetyldigoxin,DB13691,"C01AA02, C01AA52",No Pathways
Tretoquinol,DB13692,"R03CC09, R03AC09",No Pathways
Sulbenicillin,DB13693,J01CA16,No Pathways
Distigmine,DB13694,N07AA03,No Pathways
Penthienate,DB13695,A03AB04,No Pathways
Bromochlorosalicylanilide,DB13696,D01AE01,No Pathways
Ambazone,DB13697,R02AA01,No Pathways
Ferrous carbonate,DB13698,B03AA04,No Pathways
Sulfathiourea,DB13699,J01EB08,No Pathways
Protamine,DB13700,V03AB14,No Pathways
Ioglicic acid,DB13701,V08AA06,No Pathways
Tibezonium iodide,DB13702,A01AB15,No Pathways
Gepefrine,DB13703,C01CA15,No Pathways
Pristinamycin,DB13704,J01FG01,No Pathways
Decamethoxine,DB13705,D08AJ10,No Pathways
Eosin,DB13706,D08AX02,No Pathways
Sodium tartrate,DB13707,A06AD21,No Pathways
Fenquizone,DB13708,C03BA13,No Pathways
Ciclonicate,DB13709,C04AC07,No Pathways
Metenolone,DB13710,A14AA04,No Pathways
Tritoqualine,DB13711,R06AX21,Tritoqualine H1-Antihistamine Action
Dixanthogen,DB13712,P03AA01,No Pathways
Quifenadine,DB13713,R06AX31,No Pathways
Xibornol,DB13714,J01XX02,No Pathways
Dilazep,DB13715,C01DX10,No Pathways
Dibutylphthalate,DB13716,P03BX03,No Pathways
Phenothrin,DB13717,"P03AC53, P03AC03",No Pathways
Hydroquinine,DB13718,M09AA01,No Pathways
Trolnitrate,DB13719,"C01DA09, C01DA59",No Pathways
Diphemanil,DB13720,"A03CA08, A03AB15",No Pathways
Cypermethrin,DB13721,P03BA02,No Pathways
Pirprofen,DB13722,M01AE08,No Pathways
Meldonium,DB13723,C01EB22,No Pathways
Nifuratel,DB13724,G01AX05,No Pathways
Terodiline,DB13725,G04BD05,No Pathways
Sulfaguanidine,DB13726,A07AB03,No Pathways
Azapetine,DB13727,C04AX30,No Pathways
Halometasone,DB13728,D07AC12,No Pathways
Camostat,DB13729,B02AB04,No Pathways
Nifurtoinol,DB13730,J01XE02,No Pathways
Butamirate,DB13731,R05DB13,No Pathways
Meglumine antimoniate,DB13732,P01CB01,No Pathways
Methylpentynol,DB13733,"N05CX03, N05CM15",No Pathways
Biphenylol,DB13734,D08AE06,No Pathways
Potassium guaiacolsulfonate,DB13735,No ATC Code,No Pathways
Fenoxazoline,DB13736,R01AA12,No Pathways
Cyclobarbital,DB13737,N05CA10,No Pathways
Camylofin,DB13738,"A03AA03, A03DA05",No Pathways
Penamecillin,DB13739,J01CE06,No Pathways
Bemegride,DB13740,R07AB05,No Pathways
Ioglycamic acid,DB13741,V08AC03,No Pathways
Elcatonin,DB13742,H05BA04,No Pathways
Sodium aurotiosulfate,DB13743,M01CB02,No Pathways
Piromidic acid,DB13744,J01MB03,No Pathways
Fazadinium bromide,DB13745,M03AC08,No Pathways
Bioallethrin,DB13746,"P03AC52, P03AC02",No Pathways
Trolamine,DB13747,D03AX12,No Pathways
Tidiacic arginine,DB13748,A05BA07,No Pathways
Magnesium gluconate,DB13749,A12CC03,No Pathways
Obidoxime,DB13750,V03AB13,No Pathways
Glycyrrhizic acid,DB13751,A05BA08,No Pathways
Tetramethrin,DB13752,P03BA04,No Pathways
Cetiedil,DB13753,C04AX26,No Pathways
Mephenoxalone,DB13754,N05BX01,No Pathways
Iocarmic acid,DB13755,V08AA08,No Pathways
Peruvoside,DB13756,C01AX02,No Pathways
Epanolol,DB13757,C07AB10,No Pathways
Meclofenoxate,DB13758,N06BX01,No Pathways
Fenpiverinium,DB13759,A03AB21,No Pathways
Niperotidine,DB13760,A02BA05,No Pathways
Tilactase,DB13761,A09AA04,No Pathways
Dexrabeprazole,DB13762,A02BC07,No Pathways
Aurotioprol,DB13763,M01CB05,No Pathways
Monoxerutin,DB13764,C05CA02,No Pathways
Mercuric chloride,DB13765,D08AK03,No Pathways
Lidoflazine,DB13766,C08EX01,No Pathways
Vorozole,DB13767,L02BG05,No Pathways
Domiodol,DB13768,R05CB08,No Pathways
Emetonium iodide,DB13769,A03AB16,No Pathways
Vinylbital,DB13770,N05CA08,No Pathways
Ferric sodium citrate,DB13771,B03AB01,No Pathways
Rufloxacin,DB13772,J01MA10,No Pathways
Sulfamethoxypyridazine,DB13773,J01ED05,No Pathways
Myristalkonium,DB13774,R02AA10,No Pathways
Tertatolol,DB13775,C07AA16,No Pathways
Ibacitabine,DB13776,D06BB08,No Pathways
Prenalterol,DB13777,C01CA13,No Pathways
Cefazedone,DB13778,J01DB06,No Pathways
Guanoclor,DB13779,C02CC05,No Pathways
Aluminium clofibrate,DB13780,C10AB03,No Pathways
Xamoterol,DB13781,C01CX07,No Pathways
Imipramine oxide,DB13782,N06AA03,No Pathways
Acemetacin,DB13783,M01AB11,No Pathways
Dixyrazine,DB13784,N05AB01,No Pathways
Dropropizine,DB13785,R05DB19,No Pathways
Magnesium orotate,DB13786,A12CC09,No Pathways
Tilidine,DB13787,"N02AX51, N02AX01",No Pathways
Chlorbenzoxamine,DB13788,A03AX03,No Pathways
Aluminium acetotartrate,DB13789,S02AA04,No Pathways
Fipexide,DB13790,N06BX05,No Pathways
Penfluridol,DB13791,N05AG03,No Pathways
Clopamide,DB13792,"C03BB03, C03BA03",No Pathways
Vinburnine,DB13793,C04AX17,No Pathways
Dimethoxanate,DB13794,R05DB28,No Pathways
Brodimoprim,DB13795,J01EA02,No Pathways
Dibunate,DB13796,R05DB16,No Pathways
Iodocholesterol (131I),DB13797,V09XA02,No Pathways
Demoxytocin,DB13798,H01BB01,No Pathways
Ethadione,DB13799,N03AC03,No Pathways
Calcium levulinate,DB13800,A12AA30,No Pathways
Muzolimine,DB13801,C03CD01,No Pathways
Epomediol,DB13802,A05BA05,No Pathways
Xipamide,DB13803,C03BA10,No Pathways
Benzylthiouracil,DB13804,H03BA03,No Pathways
Reposal,DB13805,N05CA12,No Pathways
Linopirdine,DB13806,N06BX09,No Pathways
Tisopurine,DB13807,M04AA02,No Pathways
Mebhydrolin,DB13808,R06AX15,Mebhydrolin H1-Antihistamine Action
Paclitaxel poliglumex,DB13809,L01CD03,No Pathways
Dimemorfan,DB13810,R05DA11,No Pathways
Oblimersen,DB13811,L01XX36,No Pathways
Bufylline,DB13812,R03DA10,No Pathways
Iodoform,DB13813,D09AA13,No Pathways
Talampicillin,DB13814,J01CA15,No Pathways
Xenysalate,DB13815,D11AC09,No Pathways
Aspoxicillin,DB13816,J01CA19,No Pathways
Carbromal,DB13817,N05CM04,No Pathways
Bibrocathol,DB13818,S01AX05,No Pathways
Proxazole,DB13819,A03AX07,No Pathways
Oxomemazine,DB13820,R06AD08,Oxomemazine H1-Antihistamine Action
Ceftezole,DB13821,J01DB12,No Pathways
Meprotixol,DB13822,R05DB22,No Pathways
Pipemidic acid,DB13823,J01MB04,No Pathways
Enprostil,DB13824,A02BB02,No Pathways
Fedrilate,DB13825,R05DB14,No Pathways
Etohexadiol,DB13826,P03BX06,No Pathways
Indanazoline,DB13827,R01AA15,No Pathways
Cyfluthrin,DB13828,P03BA01,No Pathways
Calcium silicate,DB13829,A02AC02,No Pathways
Copper usnate,DB13830,G01AX15,No Pathways
Potassium permanganate,DB13831,"V03AB18, D08AX06",No Pathways
Ranimustine,DB13832,L01AD07,No Pathways
Methylatropine,DB13833,A03BB02,No Pathways
Phenylmercuric borate,DB13834,D08AK02,No Pathways
Caroverine,DB13835,A03AX11,No Pathways
Metampicillin,DB13836,J01CA14,No Pathways
Doxefazepam,DB13837,N05CD12,No Pathways
Noxytiolin,DB13838,B05CA07,No Pathways
Dipyrocetyl,DB13839,"N02BA09, N02BA59, N02BA79, M01BA02",No Pathways
Hydroxyethylpromethazine,DB13840,"R06AD05, R06AD55",Hydroxyethylpromethazine H1-Antihistamine Action
Clopenthixol,DB13841,N05AF02,No Pathways
Etofylline nicotinate,DB13842,C04AD04,No Pathways
Cloprednol,DB13843,H02AB14,No Pathways
Pipenzolate,DB13844,"A03CA09, A03AB14",No Pathways
Etafenone,DB13845,C01DX07,No Pathways
Pyrrobutamine,DB13846,"R06AX58, R06AX08",No Pathways
Rhenium Re-186 sulfide,DB13847,V10AX05,No Pathways
Fluorodopa (18F),DB13848,V09IX05,No Pathways
Clofibride,DB13849,C10AB10,No Pathways
Timepidium,DB13850,A03AB19,No Pathways
Artemotil,DB13851,P01BE04,No Pathways
Mefenorex,DB13852,A08AA09,No Pathways
Anethole trithione,DB13853,A16AX02,No Pathways
Gamolenic acid,DB13854,"D11AX02, D11AX52",No Pathways
Nifuroxazide,DB13855,A07AX03,No Pathways
Fluclorolone,DB13856,D07AC02,No Pathways
Demegestone,DB13857,G03DB05,No Pathways
Dimazole,DB13858,D01AE17,No Pathways
Imidazole salicylate,DB13860,N02BA16,No Pathways
Iopentol,DB13861,V08AB08,No Pathways
Magnesium phosphate,DB13862,B05XA10,No Pathways
Fosfructose,DB13863,C01EB07,No Pathways
Hemoglobin crosfumaril,DB13864,B05AA08,No Pathways
Dehydroemetine,DB13865,P01AX09,No Pathways
Etynodiol,DB13866,"G03DC06, G03FA06, G03AA01",No Pathways
Fluticasone,DB13867,"R03BA05, D07AC17, R03AK11, R03AK06, R01AD08, R01AD58",No Pathways
Adefovir,DB13868,No ATC Code,No Pathways
2-Methoxy-6-{(E)-[(4-methylphenyl)imino]methyl}phenol,DB13869,No ATC Code,No Pathways
Albendazole oxide,DB13871,No ATC Code,No Pathways
Lormetazepam,DB13872,N05CD06,No Pathways
Fenofibric acid,DB13873,C10AB11,No Pathways
Enasidenib,DB13874,L01XX59,No Pathways
Harmaline,DB13875,No ATC Code,No Pathways
Brofaromine,DB13876,No ATC Code,No Pathways
Iniparib,DB13877,No ATC Code,No Pathways
Pibrentasvir,DB13878,J05AP57,No Pathways
Glecaprevir,DB13879,J05AP57,No Pathways
Tisagenlecleucel,DB13881,L01XL04,No Pathways
Methyl nicotinate,DB13882,No ATC Code,No Pathways
Coral snake (micrurus fulvius) immune globulin antivenin (equine),DB13883,No ATC Code,No Pathways
Albutrepenonacog alfa,DB13884,No ATC Code,No Pathways
Ferric subsulfate,DB13885,No ATC Code,No Pathways
Human cytomegalovirus immune globulin,DB13886,J06BB09,No Pathways
Meningococcal polysaccharide vaccine group W-135,DB13887,No ATC Code,No Pathways
Meningococcal polysaccharide vaccine group Y,DB13888,No ATC Code,No Pathways
Meningococcal polysaccharide vaccine group A,DB13889,No ATC Code,No Pathways
Meningococcal polysaccharide vaccine group C,DB13890,No ATC Code,No Pathways
Crotalus scutulatus antivenin,DB13891,No ATC Code,No Pathways
Crotalus atrox antivenin,DB13892,No ATC Code,No Pathways
Crotalus adamanteus antivenin,DB13893,No ATC Code,No Pathways
Agkistrodon piscivorus antivenin,DB13894,No ATC Code,No Pathways
Rhus Glabra Pollen,DB13895,No ATC Code,No Pathways
Talimogene laherparepvec,DB13896,L01XL02,No Pathways
Equine Botulinum Neurotoxin E Immune FAB2,DB13897,No ATC Code,No Pathways
Equine Botulinum Neurotoxin C Immune FAB2,DB13898,No ATC Code,No Pathways
Equine Botulinum Neurotoxin G Immune FAB2,DB13899,No ATC Code,No Pathways
Equine Botulinum Neurotoxin A Immune FAB2,DB13900,No ATC Code,No Pathways
Equine Botulinum Neurotoxin F Immune FAB2,DB13901,No ATC Code,No Pathways
Equine Botulinum Neurotoxin D Immune FAB2,DB13902,No ATC Code,No Pathways
Equine Botulinum Neurotoxin B Immune FAB2,DB13903,No ATC Code,No Pathways
Cat dander extract,DB13904,No ATC Code,No Pathways
Scorpion (centruroides) immune Fab2 antivenin (equine),DB13905,No ATC Code,No Pathways
Aloe vera leaf,DB13906,No ATC Code,No Pathways
Fusarium graminearum,DB13907,No ATC Code,No Pathways
Amylmetacresol,DB13908,No ATC Code,No Pathways
Bismuth subgallate,DB13909,No ATC Code,No Pathways
Valproate bismuth,DB13910,No ATC Code,No Pathways
Phloxine B,DB13911,No ATC Code,No Pathways
Coumermycin A1,DB13912,No ATC Code,No Pathways
Belladonna,DB13913,No ATC Code,No Pathways
Volixibat,DB13914,No ATC Code,No Pathways
Axicabtagene ciloleucel,DB13915,L01XL03,No Pathways
Toyocamycin,DB13916,No ATC Code,No Pathways
Deoxyepinephrine,DB13917,No ATC Code,No Pathways
Diclofop-methyl,DB13918,No ATC Code,No Pathways
Candesartan,DB13919,"C09DA06, C09DB07, C09DX06, C09CA06, C10BX19",No Pathways
Valopicitabine,DB13920,No ATC Code,No Pathways
2'-C-methylcytidine,DB13921,No ATC Code,No Pathways
Emicizumab,DB13923,B02BX06,No Pathways
Varicella zoster vaccine (recombinant),DB13924,No ATC Code,No Pathways
Dotatate gallium Ga-68,DB13925,No ATC Code,No Pathways
Cenegermin,DB13926,S01XA24,No Pathways
Emrusolmin,DB13927,No ATC Code,No Pathways
Semaglutide,DB13928,A10BJ06,No Pathways
Relcovaptan,DB13929,No ATC Code,No Pathways
Ulixertinib,DB13930,No ATC Code,No Pathways
Netarsudil,DB13931,"S01EE51, S01EX05",No Pathways
Voretigene neparvovec,DB13932,S01XA27,No Pathways
Nonacog beta pegol,DB13933,No ATC Code,No Pathways
Ligandrol,DB13934,No ATC Code,No Pathways
AC-262536,DB13935,No ATC Code,No Pathways
JNJ-28330835,DB13936,No ATC Code,No Pathways
LGD-3303,DB13937,No ATC Code,No Pathways
S-40503,DB13938,No ATC Code,No Pathways
RAD-140,DB13939,No ATC Code,No Pathways
"2,5-Dimethoxy-4-ethylthioamphetamine",DB13940,No ATC Code,No Pathways
Piperaquine,DB13941,"P01BF07, P01BX02, P01BF05",No Pathways
Testosterone cypionate,DB13943,No ATC Code,No Pathways
Testosterone enanthate,DB13944,No ATC Code,No Pathways
Testosterone undecanoate,DB13946,No ATC Code,No Pathways
Testosterone enantate benzilic acid hydrazone,DB13947,No ATC Code,No Pathways
"N-(2-hydroxybenzyl)-2,5-dimethoxy-4-cyanophenylethylamine",DB13948,No ATC Code,No Pathways
Ferric cation,DB13949,No ATC Code,No Pathways
WIN 55212-2,DB13950,No ATC Code,No Pathways
Stanolone acetate,DB13951,No ATC Code,No Pathways
Estradiol acetate,DB13952,No ATC Code,No Pathways
Estradiol benzoate,DB13953,No ATC Code,No Pathways
Estradiol cypionate,DB13954,No ATC Code,No Pathways
Estradiol dienanthate,DB13955,No ATC Code,No Pathways
Estradiol valerate,DB13956,No ATC Code,No Pathways
J147,DB13957,No ATC Code,No Pathways
Trestolone acetate,DB13958,No ATC Code,No Pathways
Medium-chain triglycerides,DB13959,No ATC Code,No Pathways
Bronopol,DB13960,No ATC Code,No Pathways
Fish oil,DB13961,No ATC Code,No Pathways
Calcium saccharate,DB13962,No ATC Code,No Pathways
"1,2-dichlorobenzene",DB13963,No ATC Code,No Pathways
Peanut oil,DB13964,No ATC Code,No Pathways
Sarracenia Purpurea,DB13965,No ATC Code,No Pathways
Isopropyl myristate,DB13966,No ATC Code,No Pathways
Patent Blue,DB13967,V04CX09,No Pathways
Plasma protein fraction (human),DB13968,No ATC Code,No Pathways
Quaternium-24,DB13969,No ATC Code,No Pathways
Dioctyldimonium,DB13970,No ATC Code,No Pathways
Vanadium,DB13971,No ATC Code,No Pathways
Racemethionine,DB13972,No ATC Code,No Pathways
Remestemcel-L,DB13973,No ATC Code,No Pathways
Passiflora incarnata flower,DB13974,No ATC Code,No Pathways
Black cohosh,DB13975,G02CX04,No Pathways
Sulesomab,DB13976,V09HA04,No Pathways
Potassium carbonate,DB13977,No ATC Code,No Pathways
Selisistat,DB13978,No ATC Code,No Pathways
Besilesomab,DB13979,No ATC Code,No Pathways
Copper Cu-64,DB13980,No ATC Code,No Pathways
Nomegestrol acetate,DB13981,No ATC Code,No Pathways
Lutetium Lu-177,DB13982,No ATC Code,No Pathways
"5,7,2′-trihydroxy-6,8-dimethoxyflavone",DB13983,No ATC Code,No Pathways
Cyclopropane,DB13984,No ATC Code,No Pathways
Lutetium Lu 177 dotatate,DB13985,No ATC Code,No Pathways
Strontium chloride,DB13987,No ATC Code,No Pathways
SB-269970,DB13988,No ATC Code,No Pathways
Epitizide,DB13989,C03EA03,No Pathways
Dipropyl-4-hydroxytryptamine,DB13990,No ATC Code,No Pathways
Pipequaline,DB13991,No ATC Code,No Pathways
Azintamide,DB13992,No ATC Code,No Pathways
MRK-409,DB13993,No ATC Code,No Pathways
AZD-7325,DB13994,No ATC Code,No Pathways
Ferric pyrophosphate citrate,DB13995,No ATC Code,No Pathways
Magnesium acetate,DB13996,No ATC Code,No Pathways
Baloxavir marboxil,DB13997,J05AX25,No Pathways
Lonoctocog alfa,DB13998,No ATC Code,No Pathways
Moroctocog alfa,DB13999,No ATC Code,No Pathways
Tetraglyme,DB14000,No ATC Code,No Pathways
alpha-Tocopherol succinate,DB14001,No ATC Code,No Pathways
D-alpha-Tocopherol acetate,DB14002,No ATC Code,No Pathways
alpha-Tocopherol acetate,DB14003,No ATC Code,No Pathways
Tildrakizumab,DB14004,L04AC17,No Pathways
Dimethicone 410,DB14005,No ATC Code,No Pathways
Choline salicylate,DB14006,N02BA03,No Pathways
Pentetic acid,DB14007,No ATC Code,No Pathways
Hispidulin,DB14008,No ATC Code,No Pathways
Medical Cannabis,DB14009,No ATC Code,No Pathways
"5-methoxy-N,N-dimethyltryptamine",DB14010,No ATC Code,No Pathways
Nabiximols,DB14011,No ATC Code,No Pathways
Burosumab,DB14012,M05BX05,No Pathways
SR-9009,DB14013,No ATC Code,No Pathways
SR-9011,DB14014,No ATC Code,No Pathways
Sodium bisulfite,DB14015,No ATC Code,No Pathways
Ox bile extract,DB14016,No ATC Code,No Pathways
H3B-8800,DB14017,No ATC Code,No Pathways
Bromotheophylline,DB14018,R03DA20,No Pathways
Fosnetupitant,DB14019,No ATC Code,No Pathways
Benzoin,DB14020,No ATC Code,No Pathways
Typhoid vaccine,DB14022,No ATC Code,No Pathways
Clinafloxacin,DB14025,No ATC Code,No Pathways
Thiosalicylic acid,DB14026,No ATC Code,No Pathways
Taspoglutide,DB14027,No ATC Code,No Pathways
Nordazepam,DB14028,N05BA16,No Pathways
Furafylline,DB14029,No ATC Code,No Pathways
PZM21,DB14030,No ATC Code,No Pathways
Tretamine,DB14031,No ATC Code,No Pathways
Acetyl sulfisoxazole,DB14033,G01AE10,No Pathways
Darglitazone,DB14034,No ATC Code,No Pathways
Englitazone,DB14035,No ATC Code,No Pathways
Madecassic acid,DB14037,No ATC Code,No Pathways
beta-Sitosterol,DB14038,No ATC Code,No Pathways
Erenumab,DB14039,N02CD01,No Pathways
Eptinezumab,DB14040,N02CD05,No Pathways
Fremanezumab,DB14041,N02CD03,No Pathways
Galcanezumab,DB14042,N02CD02,No Pathways
Palmidrol,DB14043,No ATC Code,No Pathways
Hopantenic acid,DB14044,No ATC Code,No Pathways
Cholesteryl chloride,DB14045,No ATC Code,No Pathways
Dichlorobenzene,DB14046,No ATC Code,No Pathways
Sodium zirconium cyclosilicate,DB14048,V03AE10,No Pathways
Nitrate,DB14049,No ATC Code,No Pathways
Cannabidivarin,DB14050,No ATC Code,No Pathways
Malacidin A,DB14051,No ATC Code,No Pathways
Malacidin B,DB14052,No ATC Code,No Pathways
Asiatic acid,DB14054,No ATC Code,No Pathways
